abbreviation,year,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score
WA,2018,383.8,12.69,1.35
WI,2018,376.47,7.01,0.74
WV,2018,398.52,-14.15,-1.5
WY,2018,388.78,-13.17,-1.4
AK,2019,395.55,-1.99,-0.21
AL,2019,377.4,-14.96,-1.55
AR,2019,391.63,-5.72,-0.59
AZ,2019,395.54,-4.49,-0.46
CA,2019,373.28,13.57,1.41
CO,2019,405,16.79,1.74
CT,2019,393.84,3.89,0.4
DE,2019,392.5,-3.02,-0.31
FL,2019,361.48,4.47,0.46
GA,2019,375.76,-9.6,-0.99
HI,2019,368.24,4.69,0.49
IA,2019,407.84,-6.59,-0.68
ID,2019,398.97,-14.1,-1.46
IL,2019,384.61,2.12,0.22
IN,2019,394.61,-1.82,-0.19
KS,2019,392.58,-9.26,-0.96
KY,2019,397.74,2.54,0.26
LA,2019,369.95,4.81,0.5
MA,2019,397.26,3.73,0.39
MD,2019,386.48,8.12,0.84
ME,2019,420.92,4.89,0.51
MI,2019,388.72,-1.8,-0.19
MN,2019,390.27,8.12,0.84
MO,2019,397.16,1.95,0.2
MS,2019,364.44,-18.7,-1.94
MT,2019,405.78,13.47,1.39
NC,2019,371.55,-6.54,-0.68
ND,2019,396.23,2.03,0.21
NE,2019,396.63,5.03,0.52
NH,2019,417.37,4.85,0.5
NJ,2019,369.71,3.75,0.39
NM,2019,400.02,-14.15,-1.47
NV,2019,404.31,-21.06,-2.18
NY,2019,383.87,2.97,0.31
OH,2019,392.87,0.59,0.06
OK,2019,384.73,-9.81,-1.02
OR,2019,420.77,10.34,1.07
PA,2019,394.93,8.94,0.93
RI,2019,402.83,4.64,0.48
SC,2019,362.34,-6.75,-0.7
SD,2019,390.96,2.7,0.28
TN,2019,392.57,-8.84,-0.92
TX,2019,366.71,-14.92,-1.55
UT,2019,395.88,16.85,1.74
VA,2019,382.02,14.79,1.53
VT,2019,418.77,5.75,0.6
WA,2019,402.68,13.35,1.38
WI,2019,394.81,7.62,0.79
WV,2019,417.9,-14.55,-1.51
WY,2019,407.78,-13.61,-1.41
AK,2020,414.03,-1.82,-0.19
AL,2020,395.29,-15.57,-1.59
AR,2020,410.23,-6.01,-0.61
AZ,2020,413.82,-4.23,-0.43
CA,2020,390.73,13.23,1.35
CO,2020,424.15,16.3,1.66
CT,2020,411.57,3.75,0.38
DE,2020,410.22,-2.26,-0.23
FL,2020,378.53,4.85,0.49
GA,2020,393.55,-9.95,-1.01
HI,2020,385.28,5.39,0.55
IA,2020,426.99,-6.74,-0.69
ID,2020,417.57,-14.43,-1.47
IL,2020,402.67,2.41,0.25
IN,2020,413.23,-1.82,-0.19
KS,2020,410.86,-9.34,-0.95
KY,2020,416.41,2.82,0.29
LA,2020,387.47,5.11,0.52
MA,2020,415.11,3.62,0.37
MD,2020,404.23,7.96,0.81
ME,2020,439.95,4.69,0.48
MI,2020,407.01,-1.73,-0.18
MN,2020,408.62,7.39,0.75
MO,2020,415.93,2.08,0.21
MS,2020,381.58,-19.3,-1.97
MT,2020,424.99,13.78,1.4
NC,2020,388.86,-6.46,-0.66
ND,2020,414.53,2.6,0.27
NE,2020,415.19,5.49,0.56
NH,2020,436.23,4.67,0.48
NJ,2020,386.46,3.52,0.36
NM,2020,418.74,-14.56,-1.48
NV,2020,423.19,-21.74,-2.22
NY,2020,401.06,2.89,0.29
OH,2020,411.21,0.9,0.09
OK,2020,402.72,-9.97,-1.02
OR,2020,440.44,10.98,1.12
