state,abbreviation,year,lat,lng,population,raw_need_score,need_index,ami,smi,mde_adult,mde_youth,suicide_rate,substance_use_disorder,public_mh_spending_per_capita,predicted_public_mh_spending_per_capita,funding_gap_per_capita,funding_gap_score,medicaid_share_of_public_mh,provider_density_per_100k,medicaid_expansion_status,medicaid_expansion_label,financing_status
New York,NY,2016,42.2,-74.9,19571216,-2.6054,21.3,21.87,4.73,7.7,15.27,8.3,17.29,335.5,321.06,14.44,1.22,46.9,251.4,1,Expansion,Modeled fallback
North Carolina,NC,2016,35.6,-79,10439388,-2.247,25.1,21.4,5,8.09,15.89,14.3,14.82,313.47,323.3,-9.83,-0.83,43.6,147.3,0,Non-expansion,Modeled fallback
North Dakota,ND,2016,47.5,-99.8,780841,-0.4353,44.7,22.99,6.27,8.85,16.4,17.8,16.82,342.31,334.86,7.45,0.63,48.3,212.1,1,Expansion,Modeled fallback
Ohio,OH,2016,40.4,-82.9,11785869,-0.0302,49,23.89,6.28,8.88,17.53,14.7,17.64,338.14,337.4,0.74,0.06,44.6,222.8,1,Expansion,Modeled fallback
Oklahoma,OK,2016,35.6,-97.5,4053824,-0.3196,45.9,22.56,5.76,8.31,17.28,21.8,17.9,322.06,335.57,-13.51,-1.14,43.2,164.4,0,Non-expansion,Modeled fallback
Oregon,OR,2016,43.8,-120.6,4246155,4.6919,100,31.58,7.96,11.9,19.89,19.4,20.81,370.79,367.49,3.3,0.28,50.2,225.7,1,Expansion,Modeled fallback
Pennsylvania,PA,2016,40.6,-77.2,12961683,-0.0986,48.3,23.94,6.22,9.2,17.29,14.3,17.06,350.27,336.99,13.28,1.12,47.4,282.2,1,Expansion,Modeled fallback
Rhode Island,RI,2016,41.7,-71.5,1095962,0.4316,54,25.82,6.31,9.71,16.9,9.4,19.46,353.4,340.35,13.05,1.1,49.4,267.8,1,Expansion,Modeled fallback
South Carolina,SC,2016,34,-81.2,5373555,-3.0862,16.1,19.78,4.6,6.65,14.97,14.7,17.62,305.3,317.99,-12.69,-1.07,42.5,139.7,0,Non-expansion,Modeled fallback
South Dakota,SD,2016,44.3,-99.4,887770,-0.6838,42,21.83,6.72,8.12,15.79,20.7,16.94,338.32,333.27,5.05,0.43,46.1,220.6,0,Non-expansion,Modeled fallback
Tennessee,TN,2016,35.7,-86.7,7126489,1.2321,62.7,26.96,7,9.72,17.79,17.3,16.36,329.71,345.48,-15.77,-1.33,44.9,152.3,0,Non-expansion,Modeled fallback
Texas,TX,2016,31.9,-99.9,30503301,-2.6306,21,20.73,5.1,7.22,16.13,14.2,14.62,302.01,320.88,-18.87,-1.59,43.7,103.3,0,Non-expansion,Modeled fallback
Utah,UT,2016,39.3,-111.1,3417734,1.3428,63.9,26.7,8.4,9.87,16.83,21.5,12.59,354.86,346.19,8.67,0.73,50.6,225.1,0,Non-expansion,Modeled fallback
Vermont,VT,2016,44,-72.7,643077,2.9408,81.1,29.12,7.69,10.45,17.87,17.8,20.87,368.18,356.34,11.84,1,51.9,287.8,1,Expansion,Modeled fallback
Virginia,VA,2016,37.8,-78.2,8715698,-1.1378,37.1,23.14,5.53,8.26,17.47,13.6,15.57,344.15,330.38,13.77,1.16,47.3,311.3,0,Non-expansion,Modeled fallback
Washington,WA,2016,47.4,-121.5,7812880,1.7512,68.3,27.93,7.24,10.93,17.13,15.7,16.62,357.72,348.79,8.93,0.75,49.3,237.1,1,Expansion,Modeled fallback
West Virginia,WV,2016,38.5,-80.9,1770071,3.2603,84.6,28.11,8.01,11,20.32,18.6,17.19,346.72,358.4,-11.68,-0.98,45.4,182.6,1,Expansion,Modeled fallback
Wisconsin,WI,2016,44.3,-89.6,5910726,0.0407,49.8,24.55,6.4,8.85,16.42,15,18.84,345.92,337.87,8.05,0.68,48.7,220.3,0,Non-expansion,Modeled fallback
Wyoming,WY,2016,42.8,-107.3,576851,1.8133,68.9,24.67,7.38,9.52,18.43,26.3,17.6,338.77,349.14,-10.37,-0.87,45.8,186.5,0,Non-expansion,Modeled fallback
Alabama,AL,2017,32.8,-86.8,5108468,-0.4189,44.8,23.02,6.12,8.64,17.6,16.8,16.2,328.2,352.74,-24.54,-2.01,46.4,92.6,0,Non-expansion,Modeled fallback
Alaska,AK,2017,64.2,-152.5,733406,0.4338,54,24.04,6.67,8.63,15.28,28.2,18.33,356.57,358.44,-1.87,-0.15,45.9,213.1,1,Expansion,Modeled fallback
Arizona,AZ,2017,33.7,-111.4,7431344,0.454,54.3,24.6,6.46,9.39,16.78,19.2,17.58,354.28,358.63,-4.35,-0.36,46.7,194.9,1,Expansion,Modeled fallback
Arkansas,AR,2017,34.8,-92.4,3067732,1.5326,65.9,26.55,6.66,9.91,18.33,20.2,17.31,349.59,365.82,-16.23,-1.33,46.4,150.1,1,Expansion,Modeled fallback
California,CA,2017,36.1,-119.7,39029342,-2.6035,21.3,21.63,4.76,7.34,15.83,10.2,16.65,352.63,338.17,14.46,1.19,46.1,254.9,1,Expansion,Modeled fallback
Colorado,CO,2017,39,-105.3,5773714,2.5401,76.8,26.36,6.98,9.58,19.24,20.9,22.37,384.48,372.58,11.9,0.98,50.8,276.1,1,Expansion,Modeled fallback
Connecticut,CT,2017,41.6,-72.7,3626205,-1.0023,38.6,23.74,5.53,8.29,17.49,9.1,17.53,362.54,348.89,13.65,1.12,49.5,258.8,1,Expansion,Modeled fallback
Delaware,DE,2017,39.3,-75.5,990837,-1.1425,37,22.14,5.6,8.6,16.58,12.8,17.62,352.85,347.9,4.95,0.41,48.6,197.9,1,Expansion,Modeled fallback
Florida,FL,2017,27.7,-81.4,22610726,-2.4986,22.4,20.81,4.54,7.64,16.33,14.4,15.64,331.4,338.85,-7.45,-0.61,45,161.7,0,Non-expansion,Modeled fallback
Georgia,GA,2017,33,-83.6,10912876,-0.9257,39.4,25.23,5.81,8.16,15.02,14.8,17.61,331.59,349.39,-17.8,-1.46,46.3,113.8,0,Non-expansion,Modeled fallback
Hawaii,HI,2017,21.1,-157.5,1435138,-3.9301,7,19.82,4.27,6.08,14.81,15.3,14.36,337.77,329.3,8.47,0.69,47.8,177.1,1,Expansion,Modeled fallback
Idaho,ID,2017,44.2,-114,1964726,0.7157,57.1,24.46,5.92,9.4,18.49,23.3,16.43,348.64,360.36,-11.72,-0.96,48.5,152.8,0,Non-expansion,Modeled fallback
Illinois,IL,2017,40.3,-88.9,12549689,-1.3914,34.4,22.19,5.2,7.83,17.25,11.9,18.31,350.34,346.29,4.05,0.33,47.5,199.4,1,Expansion,Modeled fallback
Indiana,IN,2017,39.8,-86.3,6862199,0.1643,51.1,25.31,6.78,9.16,16.04,17,16.55,355.87,356.64,-0.77,-0.06,47.2,212.4,1,Expansion,Modeled fallback
Iowa,IA,2017,42,-93.2,3207287,1.8781,69.6,24.99,7.09,10.22,20.3,15.5,17.97,363.58,368.11,-4.53,-0.37,51.1,166.3,1,Expansion,Modeled fallback
Kansas,KS,2017,38.5,-96.7,2937880,-0.0195,49.2,23.68,6.18,8.35,18.13,19.6,16.53,347.23,355.46,-8.23,-0.67,48.3,150.8,0,Non-expansion,Modeled fallback
Kentucky,KY,2017,37.7,-84.7,4505836,1.0128,60.3,25.26,6.92,10.12,17.13,17.5,17.31,362.69,362.35,0.34,0.03,46.7,229,1,Expansion,Modeled fallback
